Поколение;Живые клетки
0;188
1;228
2;186
3;205
4;192
5;201
6;189
7;177
8;141
9;133
10;130
11;122
12;120
13;123
14;117
15;100
16;108
17;106
18;120
19;98
20;99
21;96
22;97
23;95
24;110
25;94
26;85
27;84
28;85
29;91
30;83
31;89
32;84
33;89
34;86
35;80
36;86
37;78
38;92
39;82
40;86
41;87
42;83
43;97
44;90
45;89
46;88
47;85
48;79
49;84
50;75
51;83
52;71
53;71
54;68
55;77
56;78
57;82
58;78
59;75
60;71
61;75
62;69
63;78
64;62
65;48
66;45
67;50
68;46
69;35
70;33
71;34
72;36
73;38
74;40
75;44
76;42
77;45
78;49
79;45
80;48
81;47
82;48
83;47
84;41
85;46
86;42
87;49
88;41
89;38
90;37
91;38
92;43
93;41
94;49
95;42
96;47
97;45
98;46
99;54
100;50
101;52
102;52
103;48
104;46
105;44
106;45
107;42
108;43
109;43
110;46
111;42
112;43
113;45
114;45
115;45
